index,Unnamed: 0,Ag,Al,Au,Cu,Pt,Test temperature,Density Avg,MW Avg,Tm Avg,VEC Avg,Pugh_Ratio_PRIOR,V_avgr,B_avgr,G_avgr PS,E_avgr PS,G_avgr,C11,C12,C44,Cauchy Pres Avg,Zener Ratio,Universal Anisotropy,Bulk Modulus Avg,Shear Modulus Avg,Pauling Electronegativity Avg,R,Sconf,Tau_y 0,delta Eb,Tau_y 25C,YS 25-273C PRIOR,HV 25-273C PRIOR,YS 25C PRIOR,HV 25C PRIOR,YS T C PRIOR,HV T C PRIOR,Tau_y 25-273C,YS T-273C PRIOR,HV T-273C PRIOR
9186,9186,0.45,0.1,0.2,0.05,0.2,21,13.5885,132.82631,1392.5185000000001,10.0,3.995670995670996,0.3845,154.0,38.54171180931744,106.722,37.3,167.45000000000002,139.60000000000002,46.995000000000005,92.60500000000002,3.3748653500897676,2.0054081615695787,152.45,38.0,2.0885,115.71000000000001,1.3831487512487417,1.074583161816082,1.5272485528114954,0.6215943799983913,3041.763122617998,1080.4873424955636,1852.1952530045965,716.5938369546027,1864.7831399951738,720.4445212588478,1.0226019536230075,3067.8058608690226,1088.4539188953877
9187,9187,0.45,0.1,0.2,0.1,0.15,21,12.964,126.24941000000001,1358.3685,10.05,3.9039548022598876,0.382,146.20000000000002,37.44920405209841,103.5096,36.099999999999994,160.65,132.9,48.04500000000001,84.85499999999999,3.4627027027027033,2.101793352515801,144.7,36.8,2.0695,116.71000000000001,1.4263010621165086,1.022617858420277,1.5147015431120092,0.5891000537419862,2893.4006531815103,1035.1026776327653,1755.2807286964044,686.9473015284198,1767.3001612259584,690.6240933698251,0.9727868735628411,2918.3606206885233,1042.7380301892085
9188,9188,0.45,0.1,0.2,0.15,0.1,21,12.339500000000001,119.67250999999999,1324.2185,10.1,3.816044260027665,0.37950000000000006,138.4,36.2679231605654,100.06319999999997,34.9,153.85000000000002,126.20000000000002,49.095000000000006,77.10500000000002,3.551175406871609,2.1993267729999793,136.95,35.599999999999994,2.0505,117.71000000000001,1.4263010621165086,0.9683790069039615,1.4981647997545942,0.5547742880303843,2738.326950506291,987.6650200386327,1652.8905335714323,655.6257367915057,1664.322864091153,659.1229318113039,0.9207291201292485,2762.1873603877452,994.9640135783864
9189,9189,0.45,0.1,0.2,0.2,0.05,21,11.715000000000002,113.09561,1290.0685,10.15,3.7317073170731723,0.37700000000000006,130.60000000000002,34.997385620915026,96.38279999999997,33.699999999999996,147.05,119.50000000000001,50.14500000000001,69.355,3.640290381125228,2.297992489656585,129.2,34.4,2.0315,118.71000000000001,1.3831487512487417,0.9119056939108056,1.4772970988545047,0.5186961523421224,2576.676851261508,938.2156167823517,1545.262762822496,622.7019770029048,1556.0884570263672,626.0135995798003,0.866472804199697,2599.418412599091,945.1723501373787
9190,9190,0.45,0.1,0.25,0.05,0.15,21,13.481,132.92044,1357.3184999999999,10.05,4.091445427728614,0.387,147.55,36.06304974765681,100.0389,35.25,161.895,135.0,46.395,88.60499999999999,3.4500836586726145,2.0879180431714435,146.015,35.95,2.1014999999999997,109.96000000000001,1.370515174287956,1.0450676588932555,1.5440143337181784,0.6078014306354683,2959.9150912180526,1055.4497067048187,1811.2170021389875,704.0584283080414,1823.404291906405,707.7865683409008,0.9950018253040995,2985.0054759122986,1063.1249543934837
9191,9191,0.45,0.1,0.25,0.1,0.1,21,12.8565,126.34354000000002,1323.1685000000002,10.1,3.995670995670998,0.38450000000000006,139.75,34.975352112676035,96.84674999999994,34.05,155.095,128.3,47.445,80.85500000000002,3.541332338122786,2.188454322661664,138.265,34.75,2.0824999999999996,110.96000000000001,1.3966775814761834,0.9900517551103374,1.5272841146252383,0.5727036927285657,2802.4881954720167,1007.2921980642449,1706.5135197791258,672.0292198773709,1718.1110781856971,675.5769587597727,0.9421606057029966,2826.48181710899,1014.6319416056866
9192,9192,0.45,0.1,0.25,0.15,0.05,21,12.232000000000001,119.76664,1289.0185,10.15,3.90395480225989,0.38200000000000006,131.95000000000002,33.7990593342981,93.42059999999995,32.85,148.295,121.6,48.495000000000005,73.10499999999999,3.63326465630268,2.2901990598799493,130.515,33.55,2.0635,111.96000000000001,1.370515174287956,0.9329043017108902,1.5062945021890937,0.5359157937890073,2638.7800535073125,957.213231418572,1596.7577386633222,638.4544933200741,1607.747381367022,641.8162683900341,0.8872198725785192,2661.6596177355577,964.2121804024342
9193,9193,0.45,0.1,0.3,0.05,0.1,21,13.3735,133.01457000000002,1322.1185,10.1,4.1915535444947185,0.38949999999999996,141.1,33.662936308024484,93.54930000000003,33.2,156.34,130.39999999999998,45.794999999999995,84.60499999999999,3.530840400925208,2.1768709115065814,139.58,33.900000000000006,2.1144999999999996,104.21000000000001,1.3308239368722867,0.9951823999835927,1.5420485698081494,0.5784248704040921,2818.4384047394515,1012.1714300212453,1723.6629549794282,677.2752997795742,1735.274611212276,680.8273512426663,0.9474524536634066,2842.3573609902196,1019.4883331264055
9194,9194,0.45,0.1,0.3,0.1,0.05,21,12.749,126.43767000000001,1287.9685000000002,10.15,4.0914454277286145,0.387,133.3,32.580173035328045,90.3774,32.0,149.54,123.69999999999999,46.845,76.85499999999999,3.625773993808049,2.281892609412438,131.83,32.7,2.0955,105.21000000000001,1.3308239368722867,0.9379643402085852,1.5208814583322232,0.5414369144169053,2654.4562050000995,962.0086280208318,1613.3045005018623,643.5162130626682,1624.310743250716,646.8830661519473,0.8924232880091054,2677.269864027316,968.9874163436267
9195,9195,0.45,0.1,0.35,0.05,0.05,21,13.266,133.1087,1286.9185,10.15,4.296296296296297,0.392,134.65,31.34094827586207,87.25319999999999,31.15,150.785,125.8,45.19500000000001,80.60499999999999,3.6177706623974393,2.273020778945961,133.145,31.85,2.1274999999999995,98.46000000000001,1.256597943527338,0.9299738516357479,1.5231964229932329,0.5372325740769452,2632.0553119372253,955.1561064353701,1600.7919981539635,639.6885892180983,1611.6977222308358,643.0246932489556,0.8848816751439376,2654.645025431813,962.0663889360087
